id,summary
id117hr34,"<p><strong>Let Lenders Lend Act</strong></p> <p>This bill nullifies the final rule issued by the Consumer Financial Protection Bureau titled <i>Home Mortgage Disclosure (Regulation C)</i> and published on October 28, 2015. (The rule expands the scope of information that financial institutions must disclose regarding home mortgages.)</p>"
id117hr35,"<p>This bill removes Pakistan's designation as a major non-NATO ally, a status that allows for various benefits such as access to excess U.S. defense supplies and participation in cooperative defense research and development projects. </p> <p>The President may not redesignate Pakistan a major non-NATO ally without certifying that the country has taken various actions against the Haqqani Network, including continuing to conduct military actions against the Taliban-affiliated group and prosecuting its leaders. </p>"
id117hr62,"<p><b>Improving Science in Chemical Assessments Act</b></p> <p>This bill modifies procedures related to specified chemical assessments performed by the Environmental Protection Agency (EPA). Specifically, chemical hazard identification and dose response assessments must be performed by the appropriate EPA program office (they are currently performed by the Integrated Risk Information System program).</p> <p>Additionally, the bill requires the EPA to establish a steering committee to ensure there is no duplication of effort by relevant program offices in conducting covered assessments.</p>"
id117hr66,"<p><b>Comprehensive Access to Robust Insurance Now Guaranteed for Kids Act or the CARING for Kids Act</b></p> <p>This bill permanently extends the Children's Health Insurance Program (CHIP) and related measures, programs, and authorities. </p> <p>Specifically, the bill permanently funds CHIP and related programs that support the development of child health quality measures and outreach and enrollment efforts. The bill also permanently authorizes the Medicaid and CHIP express lane eligibility option, which allows states to use information from designated programs (e.g., the Supplemental Nutrition Assistance Program) to streamline eligibility determinations for children.</p>"
id117hr61,"<p><b>Midnight Rules Relief Act of 2021</b></p> <p>This bill allows Congress to disapprove multiple regulations under one joint resolution of disapproval if the regulations were submitted for review during the last 60 legislative days of the final year of a President's term. Currently, each joint resolution may disapprove of only one regulation.</p>"
id117hr29,"<p><b>Defund National Endowment for the Humanities Act of 2021</b></p> <p>This bill prohibits the use of any funds that are made available to the National Endowment for the Humanities of the National Foundation on the Arts and the Humanities to carry out the functions, programs, and activities of such endowment. </p>"
id117hr372,"Provides for the relief of Alirio Palacios Gamez, Hilda Veronica Ramirez Mendez, and Jayro Ivan Juarez Ramirez."
id117hr371,Provides for the relief of Robert Feiss.
id117hr53,"<p><b>Freedom for Families Act</b></p> <p>This bill modifies requirements for health savings accounts (HSAs) to (1) exclude from gross income HSA distributions paid or distributed during a period of qualified caregiving, (2) allow participation in an HSA without enrollment in a high deductible health plan, and (3) increase the contribution limit for HSAs. </p>"
id117hr65,<p><strong>Same Day Registration Act of </strong><b>2021</b></p> <p>This bill requires states with a voter registration requirement to make same-day voter registration available at the polling place on any day voting is permitted.</p>
id117hr82,"<p><b>Social Security Fairness Act of 2021</b></p> <p>This bill repeals provisions that reduce Social Security benefits for individuals who&nbsp;receive other benefits, such as a pension from a state or local government. </p> <p>The bill eliminates the <em>government pension offset</em>, which in various instances reduces Social Security survivors' benefits for spouses, widows, and widowers who also receive government pensions of their own. </p> <p>The bill also eliminates the <em>windfall elimination provision</em>, which in some instances reduces Social Security benefits for individuals who&nbsp;also receive a pension or disability benefit from an employer that did not withhold Social Security taxes. </p> <p>These changes are effective for benefits payable after December 2021.</p>"
id117hr85,<p><b>Old Glory Only Act</b></p> <p>This bill prohibits the flying of any flag other than the U.S. flag over U.S. diplomatic and consular posts.</p>
id117hr93,<p><STRONG>Eliminating Foreign Intervention in Elections Act</STRONG></p> <p>This bill prohibits federal funds from being used to make payments to local governments that permit noncitizens to vote in state or local elections.</p>
id117hr51,"<p><b>Washington, D.C. Admission Act</b> </p> <p>This bill provides for admission into the United States of the state of Washington, Douglass Commonwealth, composed of most of the territory of the District of Columbia. The commonwealth shall be admitted to the Union on an equal footing with the other states. </p> <p>The Mayor of the District of Columbia shall issue a proclamation for the first elections to Congress of two Senators and one Representative of the commonwealth. </p> <p>The bill applies current District laws to the commonwealth and continues pending judicial proceedings. </p> <p>The commonwealth (1) shall consist of all District territory, with specified exclusions for federal buildings and monuments, including the principal federal monuments, the White House, the Capitol Building, the U.S. Supreme Court Building, and the federal executive, legislative, and judicial office buildings located adjacent to the Mall and the Capitol Building; and (2) may not impose taxes on federal property except as Congress permits.</p> <p>District territory excluded from the commonwealth shall be known as the Capital and shall be the seat of the federal government. The bill maintains the federal government's authority over military lands and specified other property.</p> <p>The bill provides for expedited consideration of a joint resolution repealing the Twenty-third Amendment to the Constitution, which provides for the appointment of electors of the President and Vice President.</p> <p>The bill continues certain federal authorities and responsibilities, including regarding employee benefits, agencies, courts, and college tuition assistance, until the commonwealth certifies that it is prepared to take over the authorities and responsibilities.</p> <p>The bill establishes the Statehood Transition Commission to advise the President, Congress, and District and commonwealth leaders on the transition.</p>"
id117hr55,"<p><b>Emmett Till Antilynching Act</b></p> <p>This bill specifies that an offense involving lynching is a hate crime act. A violator is subject to criminal penalties&#8212;a prison term, a fine, or both.</p>"
id117hr86,<p><b>FTO Passport Revocation Act of 2021</b></p> <p>This bill authorizes the Department of State to revoke or refuse to issue a passport for an individual who has aided an organization that the State Department has designated as a foreign terrorist organization.</p> <p>The individual may request a hearing with the State Department upon being notified of a revocation or refusal. <br></p> </p>
id117hr40,"<p><b>Commission to Study and Develop Reparation Proposals for African Americans Act</b></p> <p>This bill establishes the Commission to Study and Develop Reparation Proposals for African Americans. The commission shall examine slavery and discrimination in the colonies and the United States from 1619 to the present and recommend appropriate remedies.</p> <p>The commission shall identify (1) the role of the federal and state governments in supporting the institution of slavery, (2) forms of discrimination in the public and private sectors against freed slaves and their descendants, and (3) lingering negative effects of slavery on living African Americans and society.</p>"
id117hr63,<p><b>Limiting Emergency Powers Act of 2021</b></p> <p>This bill provides that a national emergency declared by the President terminates 30 days after a declaration unless a joint resolution affirming such declaration is enacted.</p> <p> All existing emergency declarations expire after two years unless the President requests a renewal that receives congressional approval. </p>
id117hr445,Provides for the relief of Yazmin Fabiola Juarez Coyoy.
id117hr87,"<p><b>Jurists United to Stop Trafficking Imitation Child Exploitation Act of 2021 or the JUSTICE Act of 2021</b></p> <p>This bill broadens the prohibition on importation or transportation of obscene materials.</p> <p>Specifically, the bill makes it a crime to import, or knowingly use a common carrier or interactive computer service to transport, a child sex doll.</p>"
id117hr54,<p><b>Farewell to Unnecessary Energy Lifelines Reform Act of 2021 or the FUEL Reform Act </b></p> <p>This bill repeals Title IX (Energy) of the Farm Security and Rural Investment Act of 2002. The title authorizes various energy programs that are administered by the Department of Agriculture and primarily provide support and incentives for renewable energy projects.</p>
id117hr89,"<p><b>Terrorist Deportation Act of 2021</b></p> <p>This bill establishes that aliens identified in the terrorist screening database, except for permanent residents, shall be deportable and inadmissible into the United States.</p> <p>The Department of Homeland Security (DHS) may temporarily waive the inadmissibility of such an alien if it is in the national security interests of the United States. DHS shall grant such a waiver only with the unanimous concurrence of the Department of Justice, the Federal Bureau of Investigation, the Office of the Director of National Intelligence, and the Department of State. </p> <p>An alien identified in the terrorist screening database shall be ineligible for various immigration benefits, including asylum, withholding or cancellation of removal, voluntary departure, or adjustment of status.</p> <p>DHS shall determine on an expedited basis the removal of an alien identified in the terrorist screening database, if the alien has not received a waiver and does not have permanent residence status. The alien shall be entitled to various protections, including the privilege of representation by counsel and judicial review.<br> </p>"
id117hr67,"<p><strong>Veteran Overmedication and Suicide Prevention Act of 2021</strong></p> <p>This bill requires the Department of Veterans Affairs (VA) to contract with the National Academies of Sciences, Engineering, and Medicine to report on the deaths of covered veterans who died by suicide during the last five years, regardless of whether information relating to such deaths has been reported by the Centers for Disease Control and Prevention. A covered veteran is any veteran who received VA hospital care or medical services during the five-year period preceding the veteran's death.</p> <p>Among other elements, the report shall include the total number of covered veterans who died by suicide, violent death, or accidental death, as well as certain demographic information.</p>"
id117hr75,<p><b>No Pay Raise for Congress Act</b></p> <p>This bill cancels the automatic adjustment to the pay of Members of Congress that is based on the employment cost index if the Congressional Budget Office determines that there was a federal budget deficit in the last fiscal year.</p>
id117hr335,"<p>This bill allows the first person nominated and appointed as Secretary of Defense after 12 p.m. (Eastern Standard Time) on January 20, 2021, to be a person who is, on the date of appointment, at least four years after relief from active duty as a commissioned officer of a regular component of the Armed Forces. Under current law, an individual may not be appointed as Secretary of Defense within seven years after relief from such active duty.</p>"
id117hr74,<p><b>Protecting Local Communities from Harmful Algal Blooms Act</b></p> <p>This bill amends the Robert T. Stafford Disaster Relief and Emergency Assistance Act to include algal blooms in the definition of a <i>major disaster</i>.</p>
id117hr25,"<p><strong>FairTax Act of </strong> <b>2021</b></p> <p>This bill imposes a national sales tax on the use or consumption in the United States of taxable property or services in lieu of the current income taxes, payroll taxes, and estate and gift taxes. The rate of the sales tax will be 23% in 2023, with adjustments to the rate in subsequent years. There are exemptions from the tax for used and intangible property; for property or services purchased for business, export, or investment purposes; and for state government functions. </p> <p>Under the bill, family members who are lawful U.S. residents receive a monthly sales tax rebate (Family Consumption Allowance) based upon criteria related to family size and poverty guidelines.</p> <p>The states have the responsibility for administering, collecting, and remitting the sales tax to the Treasury.</p> <p>Tax revenues are to be allocated among (1) the general revenue, (2) the old-age and survivors insurance trust fund, (3) the disability insurance trust fund, (4) the hospital insurance trust fund, and (5) the federal supplementary medical insurance trust fund. </p> <p>No funding is authorized for the operations of the Internal Revenue Service after FY2025. </p> <p>Finally, the bill terminates the national sales tax if the Sixteenth Amendment to the Constitution (authorizing an income tax) is not repealed within seven years after the enactment of this bill. </p>"
id117hr90,"<p><b>Visa Overstay Enforcement Act of 2021 </b></p> <p>This bill imposes various penalties on aliens who overstay a visa or lawful immigration status. An alien who overstays shall be fined or imprisoned for up to six months, or both. Such an individual may not be admitted into the United States for 5 years, and may not be granted a visa for 10 years. For subsequent offenses, the alien shall be fined or imprisoned for up to two years, or both, and shall not be admitted into the United States or granted a visa.</p> <p>The Department of Homeland Security shall make case-by-case exceptions for aliens who overstay due to medical necessity, public safety, or national security reasons.</p>"
id117hr46,"<p><b>One Bill, One Subject Transparency Act</b> </p> <p>This bill requires each bill or joint resolution to include no more than one subject and the subject to be clearly and descriptively expressed in the measure's title.</p> <p>An appropriations bill may not contain any general legislation or change to existing law that is not germane to the subject of the underlying bill.</p> <p>The bill voids measures or provisions that do not comply with these requirements, including appropriation provisions outside the relevant subcommittee's jurisdiction.</p>"
id117hr494,Provides for the relief of Enrique Soriano and Areli Soriano.
id117hr56,"<p><b>Patient Access to Medical Foods Act</b></p> <p>This bill provides for coverage of medical foods under Medicare, Medicaid, the Children's Health Insurance Program, and TRICARE. The bill also requires private health insurance providers to cover medical foods.</p> <p>Generally, a medical food is a food prescribed by a physician for the dietary management of a disease or condition. The bill expands this definition to include a food prescribed as a therapeutic option when a physician determines that traditional therapies are inappropriate for the patient. This definition shall apply to the insurance programs described above and to a federal grant program to encourage the development of drugs and medical foods for rare diseases.</p>"
id117hr103,"<p><b>Bonuses for Cost-Cutters Act of </b><b>2021</b></p> <p>This bill expands the awards program for cost-saving identifications&nbsp;by federal employees of fraud, waste, or mismanagement to include identifications of&nbsp;certain operational expenses that are&nbsp;wasteful. An agency must propose any such identified wasteful expenses for rescission.</p> <p>The bill also doubles the maximum cash award that may be made under the program.</p> <p class=""MsoNormal"" /> <p class=""MsoNormal"" />"
id117hr493,"Provides for the relief of Alirio Palacios Gamez, Hilda Veronica Ramirez Mendez, and Jayro Ivan Juarez Ramirez."
id117hr166,"<p><b>Fair Lending for All Act </b></p> <p>This bill modifies provisions related to prohibited credit discrimination. </p> <p>The bill adds sexual orientation, gender identity, and an applicant's location based on zip code or census tract as classes protected against discrimination with respect to credit transactions. (Currently, discrimination is prohibited on the basis of race, color, religion, national origin, sex, marital status, age, or because an applicant receives public assistance.) </p> <p>The bill establishes criminal penalties for violations of prohibited credit discrimination.</p> <p> The Consumer Financial Protection Bureau is required to review loan applications for compliance with specified consumer laws and to establish an Office of Fair Lending Testing.</p> </p>"
id117hr257,"<p><b>Incentives for our Nation's Veterans in Energy Sustainability Technologies or the INVEST Act</b></p> <p>This bill allows the work opportunity tax credit to be used for the hiring of a specified veteran who works in a field of renewable energy. A <i>specified veteran</i> means any veteran who is certified as (1) having received a credential or certification from the Department of Defense of a military occupational specialty or skill in a field of renewable energy or with respect to advanced manufacturing, machinist or welding, or engineering; (2) having completed a vocational degree in a field of renewable energy; or (3) having completed a LEED (Leadership in Energy &amp; Environmental Design) certification with the United States Green Building Council.</p> <p>The Department of the Treasury shall compensate specified U.S. possessions for their losses resulting from this bill.</p>"
id117hr495,Provides for the relief of Alejandra Juarez.
id117hr100,"<p><strong>Citizen Legislature Anti-Corruption Reform of Elections Act or the CLEAN Elections Act</strong></p> <p>This bill establishes requirements for nonpartisan redistricting and open primary elections.</p> <p>States must (1) conduct congressional redistricting using a plan developed by a nonpartisan independent redistricting commission, beginning with the 2020 census; and (2) hold open primaries for federal elections.</p> <p>A state may not use federal funds provided for election administration purposes unless it certifies to the Election Assistance Commission that it (1) conducts redistricting for its state legislative districts using a plan developed by a nonpartisan independent redistricting commission, and (2) holds open primaries for elections for state and local office.</p>"
id117hr77,"<p><b>ADA Compliance for Customer Entry to Stores and Services Act or the ACCESS Act</b></p> <p>This bill addresses access to public accommodations for persons with a disability.</p> <p>The bill requires the Department of Justice (DOJ) to develop a program to educate state and local governments and property owners on strategies for promoting access to public accommodations for persons with a disability.</p> <p>The bill authorizes an aggrieved person, after taking specified actions, to commence a civil action based on the failure to remove an architectural barrier to access an existing public accommodation. Specifically, the aggrieved person must have provided the owners or operators a written notice specific enough to identify the barrier and specify the circumstances under which public accommodation access was denied. The owners or operators must have (1) failed to provide the person a written description outlining improvements that will be made to improve the barrier, or (2) failed to remove the barrier or make substantial progress after providing such a description.</p> <p>The Judicial Conference of the United States must develop a model program to promote alternative dispute resolution mechanisms to resolve claims involving architectural barriers to access for public accommodations.</p> <p>Finally, the bill requires DOJ to complete a study of whether certain web content standards or information services for individuals with disabilities provided telephonically provide the same accommodations as would be available on a website.</p>"
id117hr68,"<p><b>Veterans, Women, Families with Children, Race, and Persons with Disabilities Housing Fairness Act of 2021 or the Housing Fairness Act of 2021</b></p> <p>This bill expands efforts to detect and address housing discrimination.</p> <p>Specifically, the Department of Housing and Urban Development (HUD) must conduct a nationwide testing program to (1) detect and document differences in the treatment of prospective renters, homebuyers, or mortgage borrowers; (2) measure patterns of adverse treatment because of the race, color, religion, sex, familial status, disability status, or national origin of a renter, homebuyer, or borrower; and (3) measure the prevalence of such discriminatory practices across housing and mortgage lending markets.</p> <p>The bill also reauthorizes through FY2025 the Fair Housing Initiatives Program, which supports organizatons that provide direct assistance to individuals who have been victims of housing discrimination.</p> Additionally, HUD shall implement a grant program to assist public and private nonprofit organizations in (1) conducting comprehensive studies of the causes and effects of housing discrimination and segregation on education, poverty, and economic development or on veterans and military personnel; and (2) implementing pilot projects that test solutions to help prevent or alleviate housing discrimination and segregation."
id117hr105,<p><strong>Earned Income Tax Credit Equity for Puerto Rico Act of 2021</strong></p> <p>This bill makes residents of Puerto Rico eligible for the federal earned income tax credit. </p>
id117hr42,"<p><b>Judicial Administration and Improvement Act of 2021</b></p> <p>This bill divides the U.S. Court of Appeals for the Ninth Circuit into two judicial circuits: (1) the Ninth Circuit, and (2) a new Twelfth Circuit.</p> <p>The Ninth Circuit is composed of California, Guam, Hawaii, Oregon, Washington, and Northern Mariana Islands. The new Twelfth Circuit is composed of Alaska, Arizona, Idaho, Montana, and Nevada.</p>"
id117hr95,"<p><b>Hearing Protection Act </b></p> <p>This bill removes silencers from the definition of<i> firearms</i> for purposes of the National Firearms Act. It also treats persons acquiring or possessing a firearm silencer as meeting any registration and licensing requirements of such Act.</p> <p>The Department of Justice must destroy certain records relating to the registration, transfer, or making of a silencer. </p> <p>The bill also revises the definitions of <i>firearm silencer</i> and <i>firearm muffler</i> under the federal criminal code and includes such items in the 10% excise tax category. </p>"
id117hr70,"<p><b>Securing America's Medicine Cabinet Act of 2021</b></p> <p>This bill encourages the development and approval of advanced pharmaceutical manufacturing technologies and designates certain university research centers to assist in developing such technologies.</p> <p>The Food and Drug Administration (FDA) must continue to evaluate and approve new drug manufacturing technologies included in an application for drug approval and expedite the development and implementation of such technologies. The FDA must designate such a technology as an advanced manufacturing technology if it is likely to (1) prevent or resolve a drug shortage, (2) maintain an adequate supply of critical medications for national emergencies, or (3) promote the adoption of innovative approaches to drug design and manufacturing. </p> <p>The sponsor of such a designated technology must provide the FDA with certain related scientific evidence. After receiving this evidence, if the FDA validates the technology for a proposed use, then the sponsor may use the validated technology across multiple manufacturing product lines within the same use context without obtaining additional FDA validation.</p> <p>The FDA must designate certain institutions of higher education as National Centers of Excellence in Advanced Pharmaceutical Manufacturing. Among other requirements, such centers must demonstrate the ability to provide federal agencies with technical assistance and to train a future workforce in such technologies.</p>"
id117hr104,"<p>This bill authorizes the Maritime Administrator of the Department of Transportation to purchase duplicate medals for U.S. merchant mariners who engaged in qualified service during World War II. To be eligible, a merchant mariner must submit an application to the Maritime Administrator. The bill sets forth what constitutes qualified service, including time frame of service and licensing requirements.</p>"
id117hr109,<p><b>Department of Veterans Affairs Electronic Health Record Advisory Committee Act</b></p> <p>This bill requires the Department of Veterans Affairs to establish the Electronic Health Record Advisory Committee to provide guidance regarding the implementation of and transition to an electronic health record system.</p>
id117hr98,"<p><b>COVID-19 Victims Compensation Fund Act</b></p> <p>This bill allows individuals to file claims and receive compensation for harm or death suffered as a result of COVID-19 (i.e., coronavirus disease 2019).</p> <p>A Special Master appointed by the Department of Health and Human Services must review claims submitted and determine whether a claimant&nbsp;is eligible for compensation, the extent of the harm to the claimant, and the amount of compensation to be awarded.</p> <p />"
id117hr79,"<p><b>Nationally Enhancing the Well-being of Babies through Outreach and Research Now Act or the NEWBORN Act</b></p> <p>This bill establishes a pilot program through which the Health Resources and Services Administration must award grants to territorial, tribal, and local health departments in areas with the highest rates of infant mortality to address birth defects, premature births, and other leading causes of infant death.</p>"
id117hr112,"<p><b>Care Veterans Deserve Act of 2021</b></p> <p>This bill expands the availability of care for veterans at Department of Veterans Affairs (VA) facilities and non-VA facilities.</p> <p>Specifically, the bill requires the VA to furnish hospital care, medical services, and extended care services via providers under the Veterans Community Care Program to veterans with a service-connected disability rated at 50% or more who elect to receive care or services through a non-VA provider.</p> <p>The bill requires the VA to extend the operating hours of its pharmacies. </p> <p>The VA must enter into contracts with physicians and nurses to work at VA medical facilities during nights and weekends.</p> <p>Finally, the bill authorizes the VA to provide for a best-practices peer review of each VA medical center by a nongovernmental hospital organization to evaluate the efficacy of the care provided at each center. VA medical centers with the longest wait times for appointments or the worst health outcomes shall be given priority for peer review.</p>"
id117hr94,"<p><strong>Mobilizing Against Sanctuary Cities Act </strong></p> <p> This bill imposes penalties on certain state and local governments that do not assist federal immigration enforcement actions. Specifically, a state or local government shall be ineligible for federal financial assistance for at least one year if it restricts or prohibits an agency or official from (1) communicating with the responsible federal immigration agency regarding an individual's citizenship or immigration status, or (2) maintaining or exchanging information about an individual's status. Such governmental entities are sometimes referred to as sanctuary cities or jurisdictions. </p> <p> The bill restores assistance eligibility upon a Department of Justice (DOJ) determination that the jurisdiction no longer takes such actions.</p> <p> DOJ shall determine each year which state or local jurisdictions are not in compliance with immigration requirements and report such determination to Congress.</p>"
id117hr106,"<p><b>Child Tax Credit Equity for Puerto Rico Act of 2019</b></p> <p>This bill (1) allows residents of Puerto Rico to claim the refundable portion of the child tax credit on the same basis as U.S. taxpayers, and (2) allows such residents with one or two children to claim the refundable portion of the credit on the same basis as residents with three or more children. </p>"
id117hr447,"<p><b>National Apprenticeship Act of 2021 </b></p> <p>This bill provides statutory authority for the registered apprenticeship program within the Department of Labor, provides for related grant programs, and contains related provisions.</p> <p>The bill provides statutory authority for the Office of Apprenticeship (OA) within Labor. The OA's responsibilities include (1) supporting the development of apprenticeship models; (2) recognizing qualified state apprenticeship agencies, and operating apprenticeship offices in states without a recognized agency; (3) providing technical assistance to state agencies; (4) periodically updating requirements for each occupation in the apprenticeship program and determining whether to approve new occupations for the program; (5) promoting greater diversity in the national apprenticeship system; and (6) awarding grants provided under this bill.</p> <p>The bill also establishes in statute the responsibilities of state apprenticeship agencies and offices, including (1) providing technical assistance to stakeholders, (2) resolving complaints, (3) establishing state performance goals, and (4) including in its written plan a description of how its apprenticeship programs align with the skills needs of the state's employers.</p> <p>The OA shall enter into an agreement with the Department of Education to promote the integration and alignment of apprenticeship programs with secondary, postsecondary, and adult education. </p> <p>The OA shall award grants to eligible entities to (1) expand national apprenticeship system programs, including by expanding pre-apprenticeship and youth apprenticeship programs; (2) encourage employer participation; and (3) strengthen alignment between the apprenticeship system and education providers.</p> <p>The bill provides statutory authority for criteria for various programs, including (1) quality standards for apprenticeships, (2) requirements for apprenticeship agreements between a program sponsor and an apprentice, and (3) acceptable uses for grant funds awarded under this bill.</p>"
id117hr140,"<p><b>Birthright Citizenship Act of 2021 </b></p> <p>This bill limits birthright citizenship by redefining what it means to be <i>subject to the jurisdiction</i> of the United States. </p> <p>Currently, a person born in the United States and subject to U.S. jurisdiction is entitled to citizenship. Under the bill, a person is subject to U.S. jurisdiction if he or she is born to a parent who is (1) a U.S. citizen or national, (2) a lawful permanent resident residing in the United States, or (3) an alien performing active service in the Armed Forces. </p> <p>The bill does not affect the citizenship or nationality status of any person born before the bill's enactment date.<br> </p> <p>"
id117hr113,"<p><b>Triple-Negative Breast Cancer Research and Education Act of 2021</b></p> <p>This bill requires research and education activities related to triple-negative breast cancer. The cells of these breast cancers are negative for estrogen receptors, progesterone receptors, and excess HER2 protein, so they do not respond to hormonal therapy medicines or medicines that target the HER2 protein receptors.</p> <p>Specifically, the National Institutes of Health must conduct and support research into the disease.</p> <p>Additionally, the Centers for Disease Control and Prevention and the Health Resources and Services Administration must develop information about triple-negative breast cancer, including information regarding the elevated risk for minority women, for the public and for health care providers.</p>"
id117hr680,"Provides for the relief of Arpita Kurdekar, Girish Kurdekar, and Vandana Kurdekar."
id117hr681,Provides for the relief of Rebecca Trimble.
id117hr634,"Designates the facility of the United States Postal Service located at 202 West Washington Street, Suite 1, in Marquette, Michigan, as the ""Senator Tom Casperson Post Office Building."""
id117hr57,"<p><b>No Free Rent for Freeloaders Act of 2021</b></p> <p>This bill directs the Department of Housing and Urban Development (HUD), on an annual basis, to</p> <ul> <li>monitor the extent of noncompliance of public-housing&nbsp;tenants with certain community service and economic self-sufficiency requirements, </li> <li>determine the aggregate amount provided in federal subsidies for all public-housing dwelling units that were occupied by noncompliant tenants, and </li> <li>publish this amount in the Federal Register. </li></ul> <p>In each fiscal year, the amount as determined and published for the preceding fiscal year must be rescinded from funds made available for HUD's&nbsp;Management and Administration account. </p>"
id117hr178,"<p><b>No Budget, No Pay Act </b></p> <p>This bill withholds the salaries of Members of a chamber of Congress that has not agreed to a budget resolution for FY2022 by April 15, 2021, as required by the Congressional Budget Act of 1974. </p> <p>Salaries are withheld from April 16, 2021, until the earlier of (1) the day on which the chamber of Congress agrees to a budget resolution, or (2) the last day of the 117th Congress.</p>"
id117hr124,<p><strong>Byron Nash Renal Medullary Carcinoma Awareness Act of </strong><b>2021</b></p> <p>This bill allows states to receive federal payment under Medicaid for 50% of their costs for providing education on the risk of renal medullary carcinoma to individuals with sickle cell disease. (Renal medullary carcinoma is a rare kidney disease usually found in individuals with the sickle cell trait.) </p>
id117hr119,"<p><b>Cyber Defense National Guard Act</b></p> <p> This bill requires the Office of the Director of National Intelligence to report to Congress regarding the feasibility of establishing a Cyber Defense National Guard.</p> <p>The report shall address topics including (1) the cost of creating a Cyber Defense National Guard, (2) the number of persons needed to defend critical U.S. infrastructure from a cyberattack, (3) the sources of potential members of the Cyber Defense National Guard, and (4) which federal government elements would be best equipped to train and manage the Cyber Defense National Guard.</p>"
